,Identifiant aire logistique dense (e1),Région d'implantation,Numéro aires dans région,Communes concernées par l'aire logistique,Nombre d'EPL de plus de  5 000 m2,Surface totale,P_Transport_et_entreposage,P_commerce,P_industrie,P_autres,Eff_com_entreposage,EFF_EPL_5000,Poids de l'entreposage,Chargement,Déchargement,commune_clean,location,latitude,longitude
256,1896,53,8,Saint-Malo,3 - 9,79000,0.5,0.25,0.25,0,NC,NC,NC,NC,NC,Saint-Malo,"(48.649518, -2.0260409)",48.649518,-2.0260409
257,1907,27,3,"Chevigny-Saint-Sauveur, Fauverney, Quetigny",10 - 19,184000,0.3,0.1,0.6,0,800,400,0.07481769106923004,10,10,Chevigny-Saint-Sauveur,"(47.2977106, 5.1382218)",47.2977106,5.1382218
258,1908,24,27,Amilly,3 - 9,33000,0.3333333333333333,0,0.6666666666666666,0,NC,NC,NC,NC,NC,Amilly,"(48.4418021, 1.3930652)",48.4418021,1.3930652
259,1912,32,35,"Compiègne, Clairoix",3 - 9,87000,0.4,0.2,0.4,0,NC,NC,NC,NC,NC,Compiègne,"(49.4179497, 2.8263171)",49.4179497,2.8263171
260,1918,76,12,Montbartier,3 - 9,69000,0.5,0.5,0,0,NC,NC,NC,NC,NC,Montbartier,"(43.9136111, 1.2733333)",43.9136111,1.2733333
261,1925,11,38,Le Mesnil-Amelot,3 - 9,64000,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,NC,NC,NC,NC,NC,Le Mesnil-Amelot,"(49.0172102, 2.5910318)",49.0172102,2.5910318
262,1955,28,12,"Aubevoye, Gaillon",3 - 9,52000,0,0,0.75,0.25,NC,NC,NC,NC,NC,Aubevoye,"(49.17721395, 1.3331944076081852)",49.17721395,1.3331944076081852
263,1956,44,38,"Haguenau, Schweighouse-sur-Moder",3 - 9,45000,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,NC,NC,NC,NC,NC,Haguenau,"(48.8172236, 7.7885978)",48.8172236,7.7885978
264,1962,52,1,"Carquefou, Nantes, Sainte-Luce-sur-Loire, Thouaré-sur-Loire",20 - 29,310000,0.23809523809523808,0.47619047619047616,0.19047619047619047,0.09523809523809523,3400,1100,0.01887955613778223,20,20,Carquefou,"(47.2971979, -1.4921233)",47.2971979,-1.4921233
265,1975,93,2,"Sorgues, Le Pontet",10 - 19,154000,0.4,0.3333333333333333,0.13333333333333333,0.13333333333333333,1200,500,0.0728271669881349,10,10,Sorgues,"(44.0066403, 4.8725016)",44.0066403,4.8725016
266,1977,52,10,Cholet,3 - 9,49000,0.16666666666666666,0.16666666666666666,0.6666666666666666,0,NC,NC,NC,NC,NC,Cholet,"(47.0617293, -0.8801349)",47.0617293,-0.8801349
267,1980,84,21,Roanne,3 - 9,63000,0,0.2,0.6,0.2,NC,NC,NC,NC,NC,Roanne,"(46.0345572, 4.0729178)",46.0345572,4.0729178
268,1989,52,11,"Vertou, Basse-Goulaine, Saint-Sébastien-sur-Loire",3 - 9,53000,0.16666666666666666,0.8333333333333334,0,0,NC,NC,NC,NC,NC,Vertou,"(47.1685211, -1.4722242)",47.1685211,-1.4722242
269,1991,11,5,"Marly-la-Ville, Saint-Witz, Vémars, Survilliers, Moussy-le-Neuf",20 - 29,787000,0.41379310344827586,0.41379310344827586,0.10344827586206896,0.06896551724137931,2000,1600,0.3143314651721377,10,10,Marly-la-Ville,"(49.0823913, 2.5034402)",49.0823913,2.5034402
270,2004,11,13,"Villejust, Les Ulis, Villebon-sur-Yvette, Marcoussis",10 - 19,145000,0.4,0.4,0.2,0,1100,300,0.03580996303706467,10,10,Villejust,"(48.6823423, 2.2370177)",48.6823423,2.2370177
271,2048,84,2,"Saint-Priest, Corbas, Chaponnay, Mions, Vénissieux, Toussieu",40 - 49,591000,0.4634146341463415,0.43902439024390244,0.0975609756097561,0,5900,1400,0.07235148424250558,40,30,Saint-Priest,"(44.7177, 4.54685)",44.7177,4.54685
272,2052,76,6,"Montauban, Bressols",3 - 9,65000,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,NC,NC,NC,NC,NC,Montauban,"(44.0175835, 1.3549991)",44.0175835,1.3549991
273,2055,84,9,"Villeurbanne, Vaulx-en-Velin, Décines-Charpieu",10 - 19,80000,0.2,0.6,0.2,0,2100,200,0.024261541528395034,10,10,Villeurbanne,"(45.7733573, 4.8868454)",45.7733573,4.8868454
274,2101,75,15,Cestas,3 - 9,33000,0.25,0.75,0,0,NC,NC,NC,NC,NC,Cestas,"(44.7411574, -0.6841225)",44.7411574,-0.6841225
275,2107,75,16,Aytré,3 - 9,33000,0.25,0.5,0.25,0,NC,NC,NC,NC,NC,Aytré,"(46.1333325, -1.1146694)",46.1333325,-1.1146694
276,2116,32,8,"Libercourt, Carvin, Oignies",10 - 19,207000,0.8,0,0.1,0.1,1100,500,0.09941520467836257,10,10,Libercourt,"(50.4802102, 3.0105187)",50.4802102,3.0105187
277,2136,53,20,"Grâces, Ploumagoar",3 - 9,40000,0,0.6666666666666666,0.3333333333333333,0,NC,NC,NC,NC,NC,Grâces,"(48.5561462, -3.1846229)",48.5561462,-3.1846229
278,2142,28,13,Villers-Bocage,3 - 9,35000,0.25,0.25,0.5,0,NC,NC,NC,NC,NC,Villers-Bocage,"(49.9956745, 2.3141984)",49.9956745,2.3141984
279,2144,76,7,"Portet-sur-Garonne, Cugnaux",3 - 9,49000,0.16666666666666666,0,0.16666666666666666,0.6666666666666666,NC,NC,NC,NC,NC,Portet-sur-Garonne,"(43.5283006, 1.4018308)",43.5283006,1.4018308
280,2147,53,21,Landivisiau,3 - 9,27000,0,1,0,0,NC,NC,NC,NC,NC,Landivisiau,"(48.5127551, -4.0699356)",48.5127551,-4.0699356
281,2161,76,18,Saint-Jean-de-Védas,3 - 9,20000,0.6666666666666666,0.3333333333333333,0,0,NC,NC,NC,NC,NC,Saint-Jean-de-Védas,"(43.5751791, 3.8264197)",43.5751791,3.8264197
282,2184,44,39,Nogent-sur-Seine,3 - 9,40000,0.3333333333333333,0.6666666666666666,0,0,NC,NC,NC,NC,NC,Nogent-sur-Seine,"(48.492439, 3.4978181)",48.492439,3.4978181
283,2186,84,22,"Chasse-sur-Rhône, Loire-sur-Rhône, Communay",3 - 9,140000,0.6,0.2,0.2,0,NC,NC,NC,NC,NC,Chasse-sur-Rhône,"(45.5789437, 4.8114503)",45.5789437,4.8114503
284,2214,75,17,Samazan,3 - 9,24000,0,0.75,0.25,0,NC,NC,NC,NC,NC,Samazan,"(44.4337707, 0.1126384)",44.4337707,0.1126384
285,2216,75,28,"Pessac, Gradignan",3 - 9,22000,0.3333333333333333,0.6666666666666666,0,0,NC,NC,NC,NC,NC,Pessac,"(44.805615, -0.6308396)",44.805615,-0.6308396
286,2241,53,22,"Rennes, Cesson-Sévigné",3 - 9,27000,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,NC,NC,NC,NC,NC,Rennes,"(48.1113387, -1.6800198)",48.1113387,-1.6800198
287,2270,93,15,"Cavaillon, Plan-d'Orgon",3 - 9,40000,0.3333333333333333,0.6666666666666666,0,0,NC,NC,NC,NC,NC,Cavaillon,"(43.8356808, 5.0383522)",43.8356808,5.0383522
288,2314,93,16,Avignon,3 - 9,26000,0,1,0,0,NC,NC,NC,NC,NC,Avignon,"(43.9492493, 4.8059012)",43.9492493,4.8059012
289,2329,84,27,"Saint-Jean-d'Ardières, Belleville",3 - 9,109000,0.25,0.5,0.25,0,NC,NC,NC,NC,NC,Saint-Jean-d'Ardières,"(46.1251695, 4.7378381)",46.1251695,4.7378381
290,2369,84,44,"Brézins, Saint-Étienne-de-Saint-Geoirs",3 - 9,70000,0,0.6666666666666666,0.3333333333333333,0,NC,NC,NC,NC,NC,Brézins,"(45.3481942, 5.3072813)",45.3481942,5.3072813
291,2416,24,7,"Blois, La Chaussée-Saint-Victor",3 - 9,112000,0.14285714285714285,0.5714285714285714,0.2857142857142857,0,NC,NC,NC,NC,NC,Blois,"(47.5876861, 1.3337639)",47.5876861,1.3337639
292,2431,53,23,Saint-Jacques-de-la-Lande,3 - 9,30000,0,1,0,0,NC,NC,NC,NC,NC,Saint-Jacques-de-la-Lande,"(48.0806436, -1.7135029)",48.0806436,-1.7135029
293,2452,11,1,"Gennevilliers, Tremblay-en-France, Aulnay-sous-Bois, Gonesse, La Courneuve, Roissy-en-France, Pantin, Le Bourget, Argenteuil, Villeneuve-la-Garenne, Le Blanc-Mesnil, Bobigny, Saint-Denis, Saint-Ouen, Bonneuil-en-France, Bondy, Drancy, Épinay-sur-Seine, Pierrefitte-sur-Seine, Rosny-sous-Bois, Bezons, Lieusaint, Carrières-sur-Seine, Sartrouville, Clichy, Levallois-Perret, Dugny, Les Lilas, Montreuil, Noisy-le-Sec, Villepinte, Garges-lès-Gonesse, Marly-la-Ville, Saint-Brice-sous-Forêt",120 - 139,2077000,0.43902439024390244,0.35772357723577236,0.08943089430894309,0.11382113821138211,21000,4200,0.029054018459934623,170,170,Gennevilliers,"(48.9254221, 2.2940122)",48.9254221,2.2940122
294,2477,93,3,"Port-Saint-Louis-du-Rhône, Fos-sur-Mer",10 - 19,178000,1,0,0,0,1700,0,0.12309160305343511,40,40,Port-Saint-Louis-du-Rhône,"(43.3890531, 4.8026354)",43.3890531,4.8026354
295,2493,75,29,Cerizay,3 - 9,22000,0,0.3333333333333333,0.6666666666666666,0,NC,NC,NC,NC,NC,Cerizay,"(46.8207452, -0.6672118)",46.8207452,-0.6672118
296,2494,52,22,La Ferrière 85280,3 - 9,102000,0,0.6666666666666666,0,0.3333333333333333,NC,NC,NC,NC,NC,La Ferrière 85280,"(46.7141667, -1.3133333)",46.7141667,-1.3133333
297,2562,11,39,Montereau-Fault-Yonne,3 - 9,90000,0.6666666666666666,0,0.3333333333333333,0,NC,NC,NC,NC,NC,Montereau-Fault-Yonne,"(48.3849647, 2.9557006)",48.3849647,2.9557006
298,2586,53,5,"Guipavas, Brest",3 - 9,82000,0.5,0.16666666666666666,0.3333333333333333,0,NC,NC,NC,NC,NC,Guipavas,"(48.4346366, -4.400979)",48.4346366,-4.400979
299,2594,52,23,Beaufort-en-Vallée,3 - 9,27000,0.3333333333333333,0.6666666666666666,0,0,NC,NC,NC,NC,NC,Beaufort-en-Vallée,"(47.43125595, -0.21245573106941965)",47.43125595,-0.21245573106941965
300,2630,52,13,"Saint-Herblain, Couëron",3 - 9,60000,0.4,0.4,0,0.2,NC,NC,NC,NC,NC,Saint-Herblain,"(47.2233007, -1.6346964)",47.2233007,-1.6346964
301,2633,75,3,"Bordeaux, Bassens, Lormont",3 - 9,80000,0.4444444444444444,0.4444444444444444,0.1111111111111111,0,NC,NC,NC,NC,NC,Bordeaux,"(44.841225, -0.5800364)",44.841225,-0.5800364
302,2649,93,13,Entraigues-sur-la-Sorgue,3 - 9,101000,0.75,0.25,0,0,NC,NC,NC,NC,NC,Entraigues-sur-la-Sorgue,"(44.0023187, 4.9272616)",44.0023187,4.9272616
303,2658,84,45,Rives,3 - 9,83000,0,0.6666666666666666,0.3333333333333333,0,NC,NC,NC,NC,NC,Rives,"(45.3501289, 5.5047411)",45.3501289,5.5047411
304,2663,84,10,Clermont-Ferrand,10 - 19,310000,0.1,0.4,0.3,0.2,2200,100,0.0239582223169562,20,20,Clermont-Ferrand,"(45.7774551, 3.0819427)",45.7774551,3.0819427
305,2675,32,55,Dunkerque,3 - 9,100000,1,0,0,0,NC,NC,NC,NC,NC,Dunkerque,"(51.0347708, 2.3772525)",51.0347708,2.3772525
306,2768,11,29,"Le Plessis-Robinson, Vélizy-Villacoublay, Clamart",3 - 9,43000,0.25,0.75,0,0,NC,NC,NC,NC,NC,Le Plessis-Robinson,"(48.7811049, 2.2619632)",48.7811049,2.2619632
307,2814,11,40,Paris,3 - 9,20000,0,0.3333333333333333,0,0.6666666666666666,NC,NC,NC,NC,NC,Paris,"(48.8588897, 2.3200410217200766)",48.8588897,2.3200410217200766
308,2823,11,3,"Rungis, Thiais, Chevilly-Larue, Orly, Villejuif",30 - 39,546000,0.5294117647058824,0.4117647058823529,0.029411764705882353,0.029411764705882353,5500,1000,0.06148849253298212,40,40,Rungis,"(48.7484048, 2.3472665)",48.7484048,2.3472665
309,2877,53,9,Carhaix-Plouguer,3 - 9,46000,0.25,0,0.75,0,NC,NC,NC,NC,NC,Carhaix-Plouguer,"(48.2764997, -3.5711477)",48.2764997,-3.5711477
310,2899,52,14,"Ancenis, Mésanger",3 - 9,68000,0.2,0.2,0.6,0,NC,NC,NC,NC,NC,Ancenis,"(47.3648141, -1.1816088)",47.3648141,-1.1816088
311,2909,32,1,"Lesquin, Fretin, Villeneuve-d'Ascq, Sainghin-en-Mélantois, Lezennes, Mons-en-Baroeul, Ronchin",40 - 49,693000,0.5,0.38636363636363635,0.045454545454545456,0.06818181818181818,3000,1300,0.03731242561440964,20,20,Lesquin,"(50.5888, 3.10997)",50.5888,3.10997
312,2945,75,30,"Bordeaux, Floirac",3 - 9,54000,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,NC,NC,NC,NC,NC,Bordeaux,"(44.841225, -0.5800364)",44.841225,-0.5800364
313,2996,11,6,"Wissous, Chilly-Mazarin, Longjumeau, Morangis, Massy, Palaiseau, Villebon-sur-Yvette, Antony",20 - 29,360000,0.46153846153846156,0.34615384615384615,0.07692307692307693,0.11538461538461539,5100,1900,0.04787648411469332,40,40,Wissous,"(48.7316381, 2.3268669)",48.7316381,2.3268669
314,3051,28,19,"Carpiquet, Bretteville-sur-Odon",3 - 9,87000,0.6666666666666666,0.3333333333333333,0,0,NC,NC,NC,NC,NC,Carpiquet,"(49.1834925, -0.4411659)",49.1834925,-0.4411659
315,3090,84,4,Saint-Vulbas,10 - 19,484000,0.5789473684210527,0.2631578947368421,0.15789473684210525,0,1400,1200,0.24910007199424047,NC,NC,Saint-Vulbas,"(45.8306, 5.28959)",45.8306,5.28959
316,3095,32,56,Sars-et-Rosières,3 - 9,33000,0,0.6666666666666666,0,0.3333333333333333,NC,NC,NC,NC,NC,Sars-et-Rosières,"(50.4464736, 3.3307975)",50.4464736,3.3307975
317,3209,44,40,"Mertzwiller, Gundershoffen",3 - 9,40000,0,0.3333333333333333,0.6666666666666666,0,NC,NC,NC,NC,NC,Mertzwiller,"(48.8659947, 7.6823034)",48.8659947,7.6823034
318,3272,44,41,"Behren-lès-Forbach, OEting",3 - 9,37000,0.3333333333333333,0,0.6666666666666666,0,NC,NC,NC,NC,NC,Behren-lès-Forbach,"(49.1715929, 6.935203)",49.1715929,6.935203
319,3304,52,12,"La Roche-sur-Yon, Mouilleron-le-Captif",3 - 9,102000,0,0.3333333333333333,0.5,0.16666666666666666,NC,NC,NC,NC,NC,La Roche-sur-Yon,"(46.6705431, -1.4269698)",46.6705431,-1.4269698
320,3317,27,16,Pontarlier,3 - 9,35000,0,0.3333333333333333,0.6666666666666666,0,NC,NC,NC,NC,NC,Pontarlier,"(46.9040348, 6.3546345)",46.9040348,6.3546345
321,3322,84,28,"Le Chambon-Feugerolles, Fraisses",3 - 9,32000,0,1,0,0,NC,NC,NC,NC,NC,Le Chambon-Feugerolles,"(45.3966546, 4.3247696)",45.3966546,4.3247696
322,3324,75,5,"Poitiers, Migné-Auxances, Chasseneuil-du-Poitou",3 - 9,83000,0,0.5,0.3333333333333333,0.16666666666666666,NC,NC,NC,NC,NC,Poitiers,"(46.5802596, 0.340196)",46.5802596,0.340196
323,3406,53,6,Ploërmel,3 - 9,37000,0.4,0,0.4,0.2,NC,NC,NC,NC,NC,Ploërmel,"(47.9323786, -2.39808)",47.9323786,-2.39808
324,3414,84,46,Oyonnax,3 - 9,34000,0.3333333333333333,0,0.6666666666666666,0,NC,NC,NC,NC,NC,Oyonnax,"(46.2476745, 5.673366294950046)",46.2476745,5.673366294950046
325,3433,32,57,"Compiègne, Venette",3 - 9,23000,0,0.6666666666666666,0.3333333333333333,0,NC,NC,NC,NC,NC,Compiègne,"(49.4179497, 2.8263171)",49.4179497,2.8263171
326,3449,84,5,"Villefranche-sur-Saône, Arnas, Gleizé, Limas",10 - 19,114000,0.46153846153846156,0.07692307692307693,0.3076923076923077,0.15384615384615385,800,200,0.032842900787908025,10,10,Villefranche-sur-Saône,"(45.9864749, 4.726611)",45.9864749,4.726611
327,3558,28,8,"Évreux, Guichainville, Le Vieil-Évreux",3 - 9,188000,0.2857142857142857,0.42857142857142855,0,0.2857142857142857,NC,NC,NC,NC,NC,Évreux,"(49.0268903, 1.1510164)",49.0268903,1.1510164
328,3559,28,4,"Mondeville, Giberville, Grentheville, Ifs, Cagny, Cormelles-le-Royal",10 - 19,164000,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,1400,500,0.06478939895882631,30,30,Mondeville,"(49.1771038, -0.3202231)",49.1771038,-0.3202231
329,3566,44,28,"Geispolsheim, Ostwald",3 - 9,30000,0.25,0.25,0.25,0.25,NC,NC,NC,NC,NC,Geispolsheim,"(48.5146952, 7.6437386)",48.5146952,7.6437386
330,3601,27,17,Digoin,3 - 9,69000,0.3333333333333333,0.6666666666666666,0,0,NC,NC,NC,NC,NC,Digoin,"(46.4810422, 3.9786291)",46.4810422,3.9786291
331,3602,75,6,Limoges,3 - 9,169000,0,0.5,0.5,0,NC,NC,NC,NC,NC,Limoges,"(45.8354243, 1.2644847)",45.8354243,1.2644847
332,3609,52,24,Pouzauges,3 - 9,22000,0,0,0.6666666666666666,0.3333333333333333,NC,NC,NC,NC,NC,Pouzauges,"(46.7829569, -0.8368869)",46.7829569,-0.8368869
333,3633,52,25,Chemillé-Melay,3 - 9,30000,0.6666666666666666,0.3333333333333333,0,0,NC,NC,NC,NC,NC,Chemillé-Melay,"(47.2146396, -0.732659)",47.2146396,-0.732659
334,3691,44,42,Saint-Louis,3 - 9,43000,1,0,0,0,NC,NC,NC,NC,NC,Saint-Louis,"(16.1876131, -15.2954502)",16.1876131,-15.2954502
335,3730,44,29,Molsheim,3 - 9,57000,0.25,0,0.75,0,NC,NC,NC,NC,NC,Molsheim,"(48.5419351, 7.4924679)",48.5419351,7.4924679
336,3731,44,43,"Fameck, Florange",3 - 9,56000,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,NC,NC,NC,NC,NC,Fameck,"(49.3043497, 6.1041352)",49.3043497,6.1041352
337,3776,84,47,"Tain-l'Hermitage, Mercurol",3 - 9,57000,0,1,0,0,NC,NC,NC,NC,NC,Tain-l'Hermitage,"(45.0712839, 4.8370726)",45.0712839,4.8370726
338,3828,84,16,Le Pouzin,3 - 9,123000,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,NC,NC,NC,NC,NC,Le Pouzin,"(44.7555185, 4.7485628)",44.7555185,4.7485628
339,3875,84,13,"Saint-Étienne, Sorbiers, La Talaudière",3 - 9,80000,0.5,0.125,0.375,0,NC,NC,NC,NC,NC,Saint-Étienne,"(45.4401467, 4.3873058)",45.4401467,4.3873058
340,3942,75,18,Ussac,3 - 9,36000,0.75,0.25,0,0,NC,NC,NC,NC,NC,Ussac,"(45.1923638, 1.5089279)",45.1923638,1.5089279
341,3968,11,41,"Châtillon, Malakoff, Arcueil",3 - 9,58000,0.3333333333333333,0.6666666666666666,0,0,NC,NC,NC,NC,NC,Châtillon,"(46.6591772, 5.7302769)",46.6591772,5.7302769
342,3974,93,17,Marseille,3 - 9,40000,0,0,0.6666666666666666,0.3333333333333333,NC,NC,NC,NC,NC,Marseille,"(43.2961743, 5.3699525)",43.2961743,5.3699525
343,4014,84,29,Sury-le-Comtal,3 - 9,58000,0.5,0,0.5,0,NC,NC,NC,NC,NC,Sury-le-Comtal,"(45.5414, 4.18354)",45.5414,4.18354
344,4080,24,28,Nogent-le-Rotrou,3 - 9,40000,0.6666666666666666,0,0.3333333333333333,0,NC,NC,NC,NC,NC,Nogent-le-Rotrou,"(48.321809, 0.8211488)",48.321809,0.8211488
345,4123,27,18,"Arc-lès-Gray, Gray",3 - 9,27000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,NC,NC,NC,NC,NC,Arc-lès-Gray,"(47.4575385, 5.5818459)",47.4575385,5.5818459
346,4207,32,12,"Arques, Blendecques",3 - 9,326000,0.1111111111111111,0.2222222222222222,0.6666666666666666,0,NC,NC,NC,NC,NC,Arques,"(50.7396639, 2.3062068)",50.7396639,2.3062068
347,4264,84,48,"Voreppe, Moirans",3 - 9,26000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,NC,NC,NC,NC,NC,Voreppe,"(45.2928424, 5.6361825)",45.2928424,5.6361825
348,4298,32,18,"Montataire, Creil",3 - 9,105000,0.42857142857142855,0.2857142857142857,0.2857142857142857,0,NC,NC,NC,NC,NC,Montataire,"(49.2561311, 2.4342569)",49.2561311,2.4342569
349,4407,84,49,Saint-Georges-d'Espéranche,3 - 9,127000,0.3333333333333333,0.6666666666666666,0,0,NC,NC,NC,NC,NC,Saint-Georges-d'Espéranche,"(45.5574829, 5.0808076)",45.5574829,5.0808076
350,4413,93,18,"Camaret-sur-Aigues, Sérignan-du-Comtat",3 - 9,27000,0.3333333333333333,0,0.6666666666666666,0,NC,NC,NC,NC,NC,Camaret-sur-Aigues,"(44.1650029, 4.8736859)",44.1650029,4.8736859
351,4432,52,26,"Le Mans, La Chapelle-Saint-Aubin",3 - 9,16000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,NC,NC,NC,NC,NC,Le Mans,"(48.0073849, 0.1967849)",48.0073849,0.1967849
352,4489,53,24,Torcé,3 - 9,16000,0,1,0,0,NC,NC,NC,NC,NC,Torcé,"(48.0620743, -1.2673254)",48.0620743,-1.2673254
353,4569,28,20,Honfleur,3 - 9,31000,0.3333333333333333,0.6666666666666666,0,0,NC,NC,NC,NC,NC,Honfleur,"(49.4197222, 0.2338889)",49.4197222,0.2338889
354,4620,84,30,Montluçon,3 - 9,82000,0.75,0,0.25,0,NC,NC,NC,NC,NC,Montluçon,"(46.3400296, 2.6073963)",46.3400296,2.6073963
355,4683,75,31,"Tarnos, Anglet",3 - 9,37000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,NC,NC,NC,NC,NC,Tarnos,"(43.5405622, -1.4611915)",43.5405622,-1.4611915
356,4796,53,10,Vitré,3 - 9,35000,0.5,0,0.5,0,NC,NC,NC,NC,NC,Vitré,"(48.1244503, -1.214331)",48.1244503,-1.214331
357,4827,53,11,"Vannes, Plescop, Theix",3 - 9,70000,0.5,0.5,0,0,NC,NC,NC,NC,NC,Vannes,"(47.6586772, -2.7599079)",47.6586772,-2.7599079
358,4902,52,15,"Saint-Georges-de-Montaigu, La Guyonnière",3 - 9,64000,0,0.4,0.6,0,NC,NC,NC,NC,NC,Saint-Georges-de-Montaigu,"(46.9477099, -1.2966952)",46.9477099,-1.2966952
359,4998,24,16,Fossé,3 - 9,83000,0.4,0.2,0.2,0.2,NC,NC,NC,NC,NC,Fossé,"(49.44561, 5.00451)",49.44561,5.00451
360,5116,52,16,Azé,3 - 9,74000,0.2,0.4,0.2,0.2,NC,NC,NC,NC,NC,Azé,"(46.431937, 4.7607483)",46.431937,4.7607483
361,5161,84,23,Montélimar,3 - 9,109000,0.4,0.4,0.2,0,NC,NC,NC,NC,NC,Montélimar,"(44.5579391, 4.750318)",44.5579391,4.750318
362,5289,28,21,Le Havre,3 - 9,664000,1,0,0,0,NC,NC,NC,NC,NC,Le Havre,"(49.4938975, 0.1079732)",49.4938975,0.1079732
363,5611,11,42,Vert-Saint-Denis,3 - 9,171000,1,0,0,0,NC,NC,NC,NC,NC,Vert-Saint-Denis,"(48.5671024, 2.6252499)",48.5671024,2.6252499
364,5731,84,50,Rillieux-la-Pape,3 - 9,23000,0,0.6666666666666666,0.3333333333333333,0,NC,NC,NC,NC,NC,Rillieux-la-Pape,"(45.823514, 4.8994366)",45.823514,4.8994366
365,5842,28,14,Vire,3 - 9,65000,0.75,0.25,0,0,NC,NC,NC,NC,NC,Vire,"(48.8517468, -0.8872594458318377)",48.8517468,-0.8872594458318377
366,5934,44,30,"Thierville-sur-Meuse, Verdun",3 - 9,113000,0.25,0.5,0,0.25,NC,NC,NC,NC,NC,Thierville-sur-Meuse,"(49.1706321, 5.348031)",49.1706321,5.348031
367,5939,84,51,Miribel,3 - 9,36000,0.3333333333333333,0.6666666666666666,0,0,NC,NC,NC,NC,NC,Miribel,"(45.8235227, 4.9528525)",45.8235227,4.9528525
368,5997,11,22,"Élancourt, Plaisir, Trappes",3 - 9,41000,1,0,0,0,NC,NC,NC,NC,NC,Élancourt,"(48.7681182, 1.949352)",48.7681182,1.949352
369,5999,11,23,Brie-Comte-Robert,3 - 9,110000,0.6,0.4,0,0,NC,NC,NC,NC,NC,Brie-Comte-Robert,"(48.6904522, 2.6166737)",48.6904522,2.6166737
370,6189,28,22,Criquebeuf-sur-Seine,3 - 9,57000,0.6666666666666666,0,0.3333333333333333,0,NC,NC,NC,NC,NC,Criquebeuf-sur-Seine,"(49.3057868, 1.0965298)",49.3057868,1.0965298
371,6204,32,58,Anzin,3 - 9,44000,1,0,0,0,NC,NC,NC,NC,NC,Anzin,"(50.3703966, 3.5020684)",50.3703966,3.5020684
372,6241,84,52,Aurillac,3 - 9,50000,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,NC,NC,NC,NC,NC,Aurillac,"(44.9285441, 2.4433101)",44.9285441,2.4433101
373,6390,24,29,Buzançais,3 - 9,42000,0,0.3333333333333333,0.6666666666666666,0,NC,NC,NC,NC,NC,Buzançais,"(46.8885028, 1.4227597)",46.8885028,1.4227597
374,6463,11,24,Goussainville,3 - 9,57000,0.6,0.4,0,0,NC,NC,NC,NC,NC,Goussainville,"(49.0323168, 2.4733628)",49.0323168,2.4733628
375,6597,27,19,"Saint-Marcel, Chalon-sur-Saône",3 - 9,39000,0,1,0,0,NC,NC,NC,NC,NC,Saint-Marcel,"(49.0984117, 1.454725)",49.0984117,1.454725
376,6630,84,31,Reyrieux,3 - 9,83000,0.75,0,0.25,0,NC,NC,NC,NC,NC,Reyrieux,"(45.9357535, 4.8220491)",45.9357535,4.8220491
377,6925,11,30,Villeparisis,3 - 9,53000,0.75,0,0,0.25,NC,NC,NC,NC,NC,Villeparisis,"(48.939344, 2.6176193)",48.939344,2.6176193
378,7236,27,20,Chalon-sur-Saône,3 - 9,32000,0,1,0,0,NC,NC,NC,NC,NC,Chalon-sur-Saône,"(46.7888997, 4.8529605)",46.7888997,4.8529605
379,7313,84,32,Le Coteau,3 - 9,36000,0.25,0.5,0.25,0,NC,NC,NC,NC,NC,Le Coteau,"(46.0205, 4.09203)",46.0205,4.09203
380,7365,27,8,"Tavaux, Damparis",3 - 9,42000,0.2,0.2,0.6,0,NC,NC,NC,NC,NC,Tavaux,"(47.0371, 5.40338)",47.0371,5.40338
381,7522,32,59,"Comines, Wervicq-Sud",3 - 9,89000,0,0.3333333333333333,0.6666666666666666,0,NC,NC,NC,NC,NC,Comines,"(50.7653265, 3.0066319)",50.7653265,3.0066319
382,7615,53,25,Quimper,3 - 9,23000,0,1,0,0,NC,NC,NC,NC,NC,Quimper,"(47.9960325, -4.1024782)",47.9960325,-4.1024782
383,7883,84,33,Pusignan,3 - 9,52000,0.5,0.25,0,0.25,NC,NC,NC,NC,NC,Pusignan,"(45.7561, 5.06785)",45.7561,5.06785
384,8251,24,30,Chécy,3 - 9,50000,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,NC,NC,NC,NC,NC,Chécy,"(47.9019, 2.02135)",47.9019,2.02135
385,9337,11,31,"Chanteloup-en-Brie, Chessy, Jossigny, Montévrain",3 - 9,61000,0.25,0.25,0,0.5,NC,NC,NC,NC,NC,Chanteloup-en-Brie,"(48.8555777, 2.7395512)",48.8555777,2.7395512
